User,Article,Message,Price,Currency,Date,Status,Platform
lokmboutak,💎 مستوي 6 + رقصة هدية,12920783849,199,points,"7/1/2026, 3:01:55 AM",Pending,kick
M7MD_Games0,💎 مستوي 25 + رقصة هدية,ممكن 110 و النبي علشان مش معايا 2013767639 و النبي,399,points,"7/1/2026, 3:01:55 AM",Pending,kick
ghassenakari,🤣 دعم المطور تمساح,أنا معندي نقاط حتى أشتري حاجة هاذى ايد لو بدك تفرحني 9869650179,99,points,"7/1/2026, 3:01:25 AM",Pending,kick
ma2rw5an,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:01:25 AM",Pending,kick
Amenabdal,💎 مستوي 25 + رقصة هدية,5102477190,399,points,"7/1/2026, 3:01:25 AM",Pending,kick
OP_HOSAM,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:01:25 AM",Pending,kick
OP_HOSAM,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:01:25 AM",Pending,kick
rba99,💎 مستوي 6 + رقصة هدية,8567673006 ارجوك حولي طلباتي على الايدي يلي شاري بيه العضوية الاسبوعية واعطيهملي,199,points,"7/1/2026, 3:01:25 AM",Pending,kick
y1u2o3s4s5e6f7,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:01:25 AM",Pending,kick
OP_HOSAM,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:01:25 AM",Pending,kick
r2ff8,💎 مستوي 6 + رقصة هدية,7151700014,199,points,"7/1/2026, 3:01:25 AM",Pending,kick
OP_HOSAM,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:01:25 AM",Pending,kick
OP_HOSAM,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:55 AM",Pending,kick
dack07,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:55 AM",Pending,kick
OP_HOSAM,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:55 AM",Pending,kick
OP_HOSAM,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:55 AM",Pending,kick
y1u2o3s4s5e6f7,🤣 دعم المطور تمساح,ممكن ان تشحن لي 50 جوهرا 10275795626,99,points,"7/1/2026, 3:00:55 AM",Pending,kick
OP_HOSAM,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:55 AM",Pending,kick
qjh097948gmail_com,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:55 AM",Pending,kick
OP_HOSAM,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:55 AM",Pending,kick
RAYANbrc14,💎 مستوي 6 + رقصة هدية,ارجوك اشحن لي بطاقة مستوى لفل 15 1869259763,199,points,"7/1/2026, 3:00:55 AM",Pending,kick
Dhiaam_19,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:55 AM",Pending,kick
OP_HOSAM,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:55 AM",Pending,kick
97ARB,🧆 شحن 60 شدة ببجي,52265498194,399,points,"7/1/2026, 3:00:25 AM",Pending,kick
Zakaria7BEN,💎 مستوي 30 + رقصة هدية,12584462320,499,points,"7/1/2026, 3:00:25 AM",Pending,kick
TARK3312,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:25 AM",Pending,kick
Aefht,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:25 AM",Pending,kick
Ra24_24,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:25 AM",Pending,kick
ayham3hfn,💎 مستوي 10 + رقصة هدية ,8868486158 والله كان بس بدي 10نقاط واصل 500نقطة بس أنا مقدرش اشحن بطاقة مستوى وا,399,points,"7/1/2026, 3:00:25 AM",Pending,kick
jOErkk,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:25 AM",Pending,kick
dhiyaxooo,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:25 AM",Pending,kick
lokamodrich_77,🤣 دعم المطور تمساح,ينفع تشحن لي يا افضل مطور 9338822398,99,points,"7/1/2026, 3:00:25 AM",Pending,kick
01270239723,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:25 AM",Pending,kick
mohammedfghh,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:25 AM",Pending,kick
badobodi15,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:25 AM",Pending,kick
mohammadx10op,🤣 دعم المطور تمساح,435658777,99,points,"7/1/2026, 3:00:25 AM",Pending,kick
Mkrem0akrm,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 3:00:25 AM",Pending,kick
angil_5,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:55 AM",Pending,kick
Mero12345600,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:55 AM",Pending,kick
xiSPEED,🧆 شحن 60 شدة ببجي,52265498194,399,points,"7/1/2026, 2:59:55 AM",Pending,kick
Mkrem0akrm,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:55 AM",Pending,kick
Mkrem0akrm,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:55 AM",Pending,kick
Bo_da9,🤣 دعم المطور تمساح,ب الله عليك انا بقا في الشغل طول اليوم و بحضر لايفات بالعافيه بسبب الشغل فا بلله عليك نفسي اشحن 5049394446,99,points,"7/1/2026, 2:59:55 AM",Pending,kick
9874129805,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:55 AM",Pending,kick
Mkrem0akrm,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:55 AM",Pending,kick
jexxkw,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:55 AM",Pending,kick
pointsef,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:55 AM",Pending,kick
Islamkoka,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
Mkrem0akrm,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
ANAS_kex,💎 مستوي 6 + رقصة هدية,13869987274 اشحلي بويا باس,199,points,"7/1/2026, 2:59:25 AM",Pending,kick
WARWDA,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
Mkrem0akrm,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
Abdou2077,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
18592753825,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
8iNFiNiTY0,🧆 شحن 60 شدة ببجي,52265498194,399,points,"7/1/2026, 2:59:25 AM",Pending,kick
Mkrem0akrm,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
Forspid,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
Mkrem0akrm,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
Mkrem0akrm,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
WARWDA,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
Mkrem0akrm,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
yahya_oui,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
Houssa_skouri,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
rba99,💎 مستوي 6 + رقصة هدية,8567738253,199,points,"7/1/2026, 2:59:25 AM",Pending,kick
sayfsayf12345,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
09hakimhakim,💎 مستوي 6 + رقصة هدية,2042558071,199,points,"7/1/2026, 2:59:25 AM",Pending,kick
Yahya123ELouafi,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
sayfsayf12345,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:59:25 AM",Pending,kick
8amer,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:58:55 AM",Pending,kick
abdellah_elhosain,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:58:55 AM",Pending,kick
sayfsayf12345,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:58:55 AM",Pending,kick
569Da,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:58:55 AM",Pending,kick
tnjgliyiiu746,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:58:55 AM",Pending,kick
Ala_edine_hamidane_41,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:58:55 AM",Pending,kick
Mohamedffzz,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:58:55 AM",Pending,kick
ANAS_kex,💎 مستوي 6 + رقصة هدية,13869987274 بويا باس ارجوك,199,points,"7/1/2026, 2:58:25 AM",Pending,kick
amir_18029,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:58:25 AM",Pending,kick
Mohamedffzz,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:58:25 AM",Pending,kick
iritbeeo3,💎  شحن 300 جوهرة والرقصة,5774152180,499,points,"7/1/2026, 2:58:25 AM",Pending,kick
jm_911cv0,🤣 دعم المطور تمساح,تمساح بقالي 40 نقطه للمستوى لفل 1014023653890,99,points,"7/1/2026, 2:58:25 AM",Pending,kick
Walidffgh,💎 مستوي 6 + رقصة هدية,8410446378,199,points,"7/1/2026, 2:58:25 AM",Pending,kick
93080631,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:57:55 AM",Pending,kick
M7MD_Games0,💎  شحن 300 جوهرة والرقصة,1563458350,499,points,"7/1/2026, 2:57:55 AM",Pending,kick
jm_911cv0,🤣 دعم المطور تمساح,تمساح بقالي 40 نقطه للمستوى لفل 1014023653890,99,points,"7/1/2026, 2:57:55 AM",Pending,kick
qxfk,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:57:55 AM",Pending,kick
mazen01076,💎 مستوي 6 + رقصة هدية,16177253835,199,points,"7/1/2026, 2:57:55 AM",Pending,kick
tnjgliyiiu746,💎 مستوي 6 + رقصة هدية,ارجوووك أنا شريت 100 جوهر و معايا 899فبدي عضويه ارحوووك,199,points,"7/1/2026, 2:57:55 AM",Pending,kick
dedoX11,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:57:55 AM",Pending,kick
dkdjwl88,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:57:55 AM",Pending,kick
mahmoud968,💎 شحن بويا باس ايدي,9684878887,499,points,"7/1/2026, 2:57:25 AM",Pending,kick
Hamoud568,💎 مستوي 6 + رقصة هدية,تمساح انا شريت عضوية اسبوعية وبقبت في لافي ومزال موصلتنيش14203678277,199,points,"7/1/2026, 2:57:25 AM",Pending,kick
STEEL090,🧆 شحن 60 شدة ببجي,52265498194 B E N Z,399,points,"7/1/2026, 2:57:25 AM",Pending,kick
rba99,💎 شحن عضوية اسبوعية,1988569717,999,points,"7/1/2026, 2:56:55 AM",Pending,kick
MAlakwet,💎  شحن 300 جوهرة والرقصة,14804240769,499,points,"7/1/2026, 2:56:55 AM",Pending,kick
yaakoob213,💎 مستوي 6 + رقصة هدية,10273997704,199,points,"7/1/2026, 2:56:55 AM",Pending,kick
gira23,💎 مستوي 6 + رقصة هدية,2185473292,199,points,"7/1/2026, 2:56:55 AM",Pending,kick
GONEUR,💎 مستوي 6 + رقصة هدية,9149352331,199,points,"7/1/2026, 2:56:25 AM",Pending,kick
ASDDFFZXZCGG,💎 مستوي 6 + رقصة هدية,تكفى ايش حليتي3470710675shop buy,199,points,"7/1/2026, 2:56:25 AM",Pending,kick
THORFINE_vn,💎 مستوي 6 + رقصة هدية,8812416575 موصلتش يا تمساح إشحنلي من عندك,199,points,"7/1/2026, 2:56:25 AM",Pending,kick
1125577,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:56:25 AM",Pending,kick
iritbeeo3,💎 شحن عضوية اسبوعية,5774152180,999,points,"7/1/2026, 2:56:25 AM",Pending,kick
alaa_31mohamed,💎 مستوي 6 + رقصة هدية,1766864973 معنديش نقاط اشحنلي اي حاجة,199,points,"7/1/2026, 2:56:25 AM",Pending,kick
Adhamy7,💎 مستوي 6 + رقصة هدية,11362041740,199,points,"7/1/2026, 2:56:25 AM",Pending,kick
BrahimLk,💎 مستوي 6 + رقصة هدية,1117870309 ممكن جواهر نقاطي راح تتصفر وعندي 304 ي اسطورة تمساح,199,points,"7/1/2026, 2:56:25 AM",Pending,kick
fawazokab,🤣 دعم المطور تمساح,يلا تعمل واحد سخن بالندوميييي,99,points,"7/1/2026, 2:56:25 AM",Pending,kick
RAYANoubaha,💎 مستوي 25 + رقصة هدية,8912652447,399,points,"7/1/2026, 2:56:25 AM",Pending,kick
fira2_12,💎 مستوي 6 + رقصة هدية,8147015668 والله يا تمساح ما قدرة اكمل تجمع ممكن تبعثلي اي حاجة لو سمحة انا معنديش بطاقة المستوى,199,points,"7/1/2026, 2:56:25 AM",Pending,kick
huguhhh,💎 مستوي 6 + رقصة هدية,9593020321,199,points,"7/1/2026, 2:56:25 AM",Pending,kick
badobodi15,💎 مستوي 6 + رقصة هدية,تمساح ابي كود الكوبرا مالحاتش والله ولا كسبت كود او اشحنلي 2664859069,199,points,"7/1/2026, 2:56:25 AM",Pending,kick
islmail,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:56:25 AM",Pending,kick
Onlyfixa_ff,🤣 دعم المطور تمساح,تمساح ممكن تشحنلي 100جوهرة لأنو كان عندي ضرف وما قدرت اشتري,99,points,"7/1/2026, 2:55:55 AM",Pending,kick
fiog6,🤣 دعم المطور تمساح,110 جوهره يخويااا موجود دايمن أنا فيجو,99,points,"7/1/2026, 2:55:55 AM",Pending,kick
ahmed14224,💎 مستوي 6 + رقصة هدية,8306686741,199,points,"7/1/2026, 2:55:55 AM",Pending,kick
sanae03,💎 مستوي 15 +  رقصة هدية,معيا بس406 مع فت إذا عندي بطاقات ليفل15 أو لا بس مجمعتش499وهذ ادي 9446042918,399,points,"7/1/2026, 2:55:55 AM",Pending,kick
jm_911cv0,🤣 دعم المطور تمساح,اخوي بقالي 40 نقطاو تجيب بطاقة مستوى 10😭14023653890,99,points,"7/1/2026, 2:55:55 AM",Pending,kick
Abdulrahman12271,💎 شحن عضوية شهرية,2483843982,1999,points,"7/1/2026, 2:55:55 AM",Pending,kick
abdellah_elhosain,💎 مستوي 6 + رقصة هدية,7467834520 شكرا ارجوك يا مطور كان عندي 338 نقطة بس ما لحقت لان ا اريد 300 جوها,199,points,"7/1/2026, 2:55:25 AM",Pending,kick
p00z,🤣 دعم المطور تمساح,يا تمسح مره تاني اشتريها ارجوك إشحنلي 14276640941,99,points,"7/1/2026, 2:55:25 AM",Pending,kick
MATRIX0V2,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:55:25 AM",Pending,kick
Sdazep,🤣 دعم المطور تمساح,اشحنلي اي حاجة فبالك مهم مضيعش نقاطي بالفاضي,99,points,"7/1/2026, 2:55:25 AM",Pending,kick
chatgpt23,🤣 دعم المطور تمساح,i love you,99,points,"7/1/2026, 2:55:25 AM",Pending,kick
anes3amk,💎 مستوي 6 + رقصة هدية,1350 12828193,199,points,"7/1/2026, 2:55:25 AM",Pending,kick
kkddggozkzkjzebb,💎 مستوي 6 + رقصة هدية,! 1350 يا مطور تمساح انا كنت نجمع 400 نقطة وأنت قلت راح تجدد 2561178860,199,points,"7/1/2026, 2:55:25 AM",Pending,kick
amin_2113450392,💎  شحن 300 جوهرة والرقصة,2113450392,499,points,"7/1/2026, 2:55:25 AM",Pending,kick
Nasser_404N,💎 مستوي 6 + رقصة هدية,تمساح جزاك الله ما لحقت اجمع نقاط ابغا بويا باس ارجوك الأيدي 9590705893,199,points,"7/1/2026, 2:55:25 AM",Pending,kick
Saramohammed4,💎 مستوي 6 + رقصة هدية,3005379399,199,points,"7/1/2026, 2:54:55 AM",Pending,kick
Raajawi05,💎  شحن 300 جوهرة والرقصة,9802038111,499,points,"7/1/2026, 2:54:55 AM",Pending,kick
p00z,🤣 دعم المطور تمساح,يا تمسح بسبب كول داون مش عرف اشتري بطاقة مستوى ليفل 6 ارجوك إشحنلي في هذا ايدي و كمان حاجاه انا كان عندي 260 نقطه ارجوك 14276640941,99,points,"7/1/2026, 2:54:55 AM",Pending,kick
dedoX11,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:54:55 AM",Pending,kick
Abdou6664646666k,🤣 دعم المطور تمساح,والله العظيم اني متفاعل في اللايف يا اسطورة العالم 100 9390663458جوهرة تكفي,99,points,"7/1/2026, 2:54:55 AM",Pending,kick
noor115,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:54:55 AM",Pending,kick
tmsahff1299,💎 مستوي 10 + رقصة هدية ,8514293213,399,points,"7/1/2026, 2:54:55 AM",Pending,kick
Houssa_skouri,💎 مستوي 6 + رقصة هدية,ارجوك بطاقة مستوى ليفل 310454752040,199,points,"7/1/2026, 2:54:55 AM",Pending,kick
Spinoza9,💎 مستوي 6 + رقصة هدية,10222150752,199,points,"7/1/2026, 2:54:25 AM",Pending,kick
dhurig,💎 مستوي 25 + رقصة هدية,6828170939,399,points,"7/1/2026, 2:54:25 AM",Pending,kick
dack07,💎 مستوي 6 + رقصة هدية,2483578753,199,points,"7/1/2026, 2:54:25 AM",Pending,kick
kshgsksndbd,💎 مستوي 6 + رقصة هدية,14618461317,199,points,"7/1/2026, 2:54:25 AM",Pending,kick
noor115,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:54:25 AM",Pending,kick
Sdazep,🤣 دعم المطور تمساح,ارجوك اشحنلي اي حاجة بنقاطي,99,points,"7/1/2026, 2:54:25 AM",Pending,kick
gijjjgb,🤣 دعم المطور تمساح,يا تمساح انا مجمعتش غيردول اشحنلي اي حاجه,99,points,"7/1/2026, 2:54:25 AM",Pending,kick
oussamaXbroo,💎 مستوي 6 + رقصة هدية,13001511110,199,points,"7/1/2026, 2:53:55 AM",Pending,kick
noor115,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:53:55 AM",Pending,kick
AURA_VIRAX,💎 مستوي 6 + رقصة هدية,يا تمساح وﷲ ما لحقت اوصل نقاط جوهرة 100 اشحن لي 1246818937,199,points,"7/1/2026, 2:53:55 AM",Pending,kick
SAADX_2013,💎 مستوي 6 + رقصة هدية,12135419401,199,points,"7/1/2026, 2:53:55 AM",Pending,kick
SlimaneHankre,💎 مستوي 15 +  رقصة هدية,15860801689,399,points,"7/1/2026, 2:53:55 AM",Pending,kick
Hicham1113,🤣 دعم المطور تمساح,تمساح ارجوك ابعت لي كود دخله الله يخليك ويحفظك.!12776979925,99,points,"7/1/2026, 2:53:55 AM",Pending,kick
hfgyrryytc,💎 مستوي 6 + رقصة هدية,ممكن تشحنلي ليفل 25 او 30 علشان ماهيش نقاط 12547575683,199,points,"7/1/2026, 2:53:55 AM",Pending,kick
mohamadvbn,💎 مستوي 6 + رقصة هدية,معاي 300نقطة اشحنلي بطاقة مستوى لفل25,199,points,"7/1/2026, 2:53:55 AM",Pending,kick
aaadadfhj,💎 مستوي 6 + رقصة هدية,7030652403ارجوك انا امي عيزا التلفون مني يا احلا مطور,199,points,"7/1/2026, 2:53:55 AM",Pending,kick
medofflol,💎 مستوي 6 + رقصة هدية,2182627425 يا تمساح والله من زمان كان نفسي في حساب بالله عليك لو تعرف تجيبلي,199,points,"7/1/2026, 2:53:55 AM",Pending,kick
165mohamed,💎 شحن عضوية اسبوعية,01007416754/كنت بجمع لل325شده ومجمعتش غير دول لو ممكن تبعت حق العضويه كاش,999,points,"7/1/2026, 2:53:55 AM",Pending,kick
adam12320,💎 مستوي 6 + رقصة هدية,ايامطور انا عندي نقاط دي اشحنلي 9321781447,199,points,"7/1/2026, 2:53:55 AM",Pending,kick
jOErkk,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:53:55 AM",Pending,kick
18hhh,💎  شحن 300 جوهرة والرقصة,12465212070,499,points,"7/1/2026, 2:53:25 AM",Pending,kick
8amer,💎 مستوي 6 + رقصة هدية,اي حاجه يامطور 3586153057,199,points,"7/1/2026, 2:53:25 AM",Pending,kick
smw_22,🧆 شحن 325 شدة ببجي,51352317466,1499,points,"7/1/2026, 2:53:25 AM",Pending,kick
fiog6,💎 مستوي 6 + رقصة هدية,5327542027يا تمساح أنا بدي 110 جوهره ضايلي 60 نقطه تا,199,points,"7/1/2026, 2:53:25 AM",Pending,kick
qjh097948gmail_com,💎 مستوي 6 + رقصة هدية,يمطور تمسح والله نقاطي 356 وانا نفسي في بطاقه رفع مستو 20 والله لو شحنتلي بطاقه,199,points,"7/1/2026, 2:53:25 AM",Pending,kick
Iman_127,💎 مستوي 6 + رقصة هدية,9439726714,199,points,"7/1/2026, 2:53:25 AM",Pending,kick
ANASHjj,🤣 دعم المطور تمساح,ارجوك اشحنلي والله اني متابعك من تونس 6437498879,99,points,"7/1/2026, 2:53:25 AM",Pending,kick
DSGYY,🤣 دعم المطور تمساح,يا تمساح ولله انا عندي تقريبا 5 ساعات لكي اشتري اليوم عادي 50 جوهر الايدي 12535643852,99,points,"7/1/2026, 2:53:25 AM",Pending,kick
1125577,💎 مستوي 6 + رقصة هدية,بحبك الايدي12210586305,199,points,"7/1/2026, 2:53:25 AM",Pending,kick
MWPSUSG,🤣 دعم المطور تمساح,اشحلي يلي بدك ياه لو 50 جوهره وماعيه بطاقات مستوه,99,points,"7/1/2026, 2:53:25 AM",Pending,kick
Sdazep,🤣 دعم المطور تمساح,ياتمسا النقاط دية لي معايا صفرها واشحنلي بيهااي حاجة,99,points,"7/1/2026, 2:52:55 AM",Pending,kick
hennigame,🤣 دعم المطور تمساح,انا ولله ما لحقت اشتري 300 جوهرة الله يخليك اشحنلي,99,points,"7/1/2026, 2:52:55 AM",Pending,kick
omar_1746,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:52:55 AM",Pending,kick
tnjgliyiiu746,💎  شحن 300 جوهرة والرقصة,7398455589 تمساح أنا معايا 850 نقطه و ما لحقت علي عضويه,499,points,"7/1/2026, 2:52:55 AM",Pending,kick
blacksythe2,💎 شحن عضوية اسبوعية,1194994176,999,points,"7/1/2026, 2:52:55 AM",Pending,kick
Nihel_44,💎 مستوي 6 + رقصة هدية,عندي 220 موصلتش 499 اهو ايدي 7040581147,199,points,"7/1/2026, 2:52:55 AM",Pending,kick
666WHITE666,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:52:25 AM",Pending,kick
F2YE,💎 مستوي 15 +  رقصة هدية,3087401141,399,points,"7/1/2026, 2:52:25 AM",Pending,kick
rayan_7d,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:52:25 AM",Pending,kick
oussama252511,💎 مستوي 6 + رقصة هدية,12683730071,199,points,"7/1/2026, 2:52:25 AM",Pending,kick
TOTA_AL2003,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:52:25 AM",Pending,kick
M1DA2R3,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:52:25 AM",Pending,kick
younes162,💎 مستوي 30 + رقصة هدية,8243345140,499,points,"7/1/2026, 2:52:25 AM",Pending,kick
Ahmed_farg222,💎 مستوي 25 + رقصة هدية,14622258138,399,points,"7/1/2026, 2:51:55 AM",Pending,kick
chatgpt23,🤣 دعم المطور تمساح,ichnali,99,points,"7/1/2026, 2:51:55 AM",Pending,kick
rayaneff2,💎 مستوي 6 + رقصة هدية,9639650675,199,points,"7/1/2026, 2:51:55 AM",Pending,kick
Mero12345600,💎 مستوي 6 + رقصة هدية,1840724192,199,points,"7/1/2026, 2:51:55 AM",Pending,kick
18hhh,💎 مستوي 20 + رقصة هدية,12465212070,399,points,"7/1/2026, 2:51:25 AM",Pending,kick
chouaibrezaigu,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:50:55 AM",Pending,kick
chatgpt23,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:50:55 AM",Pending,kick
amineikiss2,💎 شحن بويا باس ايدي,14843783805,499,points,"7/1/2026, 2:50:55 AM",Pending,kick
Adam3819,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:49:55 AM",Pending,kick
Naveykr231yGJ,💎 مستوي 6 + رقصة هدية,10040544127,199,points,"7/1/2026, 2:49:55 AM",Pending,kick
Hgsggieiimdt,💎 مستوي 6 + رقصة هدية,8246066430,199,points,"7/1/2026, 2:49:55 AM",Pending,kick
shshdjxn,💎 مستوي 6 + رقصة هدية,15854202439,199,points,"7/1/2026, 2:49:25 AM",Pending,kick
Xoxoo123,💎 مستوي 6 + رقصة هدية,8771448070,199,points,"7/1/2026, 2:49:25 AM",Pending,kick
medofflol,💎 مستوي 6 + رقصة هدية,2182627425,199,points,"7/1/2026, 2:47:25 AM",Pending,kick
adamghhtyg,💎 مستوي 6 + رقصة هدية,2139140541,199,points,"7/1/2026, 2:46:25 AM",Pending,kick
omarcamf,🤣 دعم المطور تمساح,,99,points,"7/1/2026, 2:44:55 AM",Pending,kick
HASSAN16KH,💎 مستوي 6 + رقصة هدية,!shop buy 1350 9543822769 نحبك احسن تمساح,199,points,"7/1/2026, 2:43:25 AM",Pending,kick
yajge,💎 مستوي 6 + رقصة هدية,2310622823,199,points,"7/1/2026, 2:41:55 AM",Pending,kick
